               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,           0.0075548,            0.004254,           0.0024693,             0.56346,              0.5403,             0.56365,             0.33415,           0.0088748,           0.0039192,           0.0031679,           0.0030274,           0.0030274,           0.0030274
                 117,            0.007373,           0.0041819,             0.00248,             0.60999,             0.52938,             0.56835,             0.33685,           0.0088846,           0.0038748,           0.0032045,            0.002972,            0.002972,            0.002972
                 118,           0.0075074,           0.0040643,            0.002653,             0.61162,             0.54735,              0.5678,             0.34184,           0.0088502,           0.0038415,           0.0032024,           0.0029179,           0.0029179,           0.0029179
                 119,           0.0072557,           0.0042176,           0.0025169,             0.57878,             0.58329,             0.57698,             0.32361,           0.0088546,           0.0038436,           0.0031756,           0.0028652,           0.0028652,           0.0028652
                 120,           0.0073345,           0.0042562,           0.0023862,             0.64062,             0.56107,             0.58264,              0.3383,            0.008718,           0.0038564,           0.0031303,           0.0028139,           0.0028139,           0.0028139
                 121,           0.0072794,           0.0041177,             0.00239,             0.59909,             0.54322,             0.57996,             0.34179,           0.0086449,           0.0038475,           0.0030483,           0.0027639,           0.0027639,           0.0027639
                 122,           0.0073524,           0.0039597,            0.002395,             0.64717,             0.52863,             0.57527,             0.33704,           0.0087387,           0.0038305,           0.0030315,           0.0027154,           0.0027154,           0.0027154
                 123,           0.0073702,           0.0042792,           0.0025413,             0.54124,             0.58487,             0.57241,             0.33724,           0.0086707,           0.0038017,           0.0030323,           0.0026683,           0.0026683,           0.0026683
                 124,           0.0072005,           0.0040822,           0.0022888,             0.56174,             0.56982,              0.5804,             0.33825,           0.0087568,           0.0037589,           0.0030358,           0.0026227,           0.0026227,           0.0026227
                 125,           0.0072853,           0.0045889,           0.0024421,             0.59321,             0.55753,             0.58763,             0.34397,           0.0087103,           0.0037484,           0.0030826,           0.0025785,           0.0025785,           0.0025785
                 126,           0.0072516,           0.0039993,           0.0024809,             0.63412,             0.56549,             0.59032,             0.34609,           0.0087328,           0.0037746,           0.0030851,           0.0025359,           0.0025359,           0.0025359
                 127,           0.0071998,           0.0040046,           0.0023968,             0.71014,             0.54243,             0.58263,             0.34397,            0.008746,           0.0038029,           0.0031004,           0.0024948,           0.0024948,           0.0024948
                 128,           0.0072308,           0.0042723,           0.0022226,             0.64626,             0.55757,             0.58459,             0.34397,           0.0087241,           0.0038144,           0.0030622,           0.0024552,           0.0024552,           0.0024552
                 129,           0.0071027,           0.0041252,           0.0023253,             0.57887,             0.58605,             0.58555,              0.3443,           0.0087765,           0.0038186,           0.0030445,           0.0024172,           0.0024172,           0.0024172
                 130,           0.0072488,           0.0040167,           0.0024513,             0.66396,             0.54064,             0.58425,             0.33819,           0.0087221,            0.003819,            0.003037,           0.0023807,           0.0023807,           0.0023807
                 131,           0.0072352,           0.0041377,           0.0024067,              0.5961,             0.56353,             0.57656,             0.32912,           0.0088346,           0.0038245,            0.003071,           0.0023458,           0.0023458,           0.0023458
                 132,           0.0072285,           0.0042754,           0.0023538,              0.6058,             0.56512,             0.57456,             0.31601,           0.0086867,            0.003845,            0.003022,           0.0023125,           0.0023125,           0.0023125
                 133,           0.0071822,           0.0040428,           0.0022824,             0.60273,             0.56481,             0.57489,             0.30504,           0.0087222,           0.0038365,           0.0030148,           0.0022809,           0.0022809,           0.0022809
                 134,           0.0069929,           0.0040594,           0.0023847,             0.62545,             0.55303,             0.57629,              0.3099,           0.0086932,           0.0038367,           0.0030046,           0.0022509,           0.0022509,           0.0022509
                 135,           0.0070923,           0.0042668,            0.002302,              0.6334,              0.5529,             0.57808,             0.32608,           0.0087405,           0.0038279,           0.0029629,           0.0022225,           0.0022225,           0.0022225
                 136,            0.007054,           0.0041432,           0.0020429,             0.67179,             0.54724,             0.58161,             0.32554,           0.0087664,            0.003826,           0.0029975,           0.0021958,           0.0021958,           0.0021958
                 137,           0.0071235,           0.0038662,           0.0023039,             0.67692,             0.53282,              0.5825,             0.33013,           0.0088036,           0.0037936,           0.0030079,           0.0021707,           0.0021707,           0.0021707
                 138,           0.0071542,           0.0040697,           0.0022894,              0.6113,             0.56947,             0.58074,             0.35045,           0.0087308,           0.0037879,           0.0030534,           0.0021473,           0.0021473,           0.0021473
                 139,           0.0072103,           0.0041466,           0.0021943,             0.66778,             0.57641,             0.59528,             0.34582,           0.0087715,           0.0038117,           0.0030148,           0.0021257,           0.0021257,           0.0021257
                 140,           0.0071451,           0.0040851,           0.0020551,             0.63234,             0.55876,             0.59148,             0.33961,           0.0087753,           0.0037521,           0.0030502,           0.0021057,           0.0021057,           0.0021057
                 141,           0.0070129,           0.0040864,           0.0023471,             0.58054,             0.61101,              0.6032,             0.34416,           0.0087234,           0.0037573,           0.0030837,           0.0020874,           0.0020874,           0.0020874
                 142,           0.0071973,           0.0039684,           0.0024331,             0.62894,             0.57946,             0.60234,             0.33664,           0.0086797,           0.0037477,           0.0030826,           0.0020709,           0.0020709,           0.0020709
                 143,           0.0070385,           0.0039313,            0.002058,             0.62267,             0.57786,             0.59676,             0.34886,           0.0086607,           0.0037607,           0.0030986,            0.002056,            0.002056,            0.002056
                 144,            0.007021,           0.0040217,           0.0021924,             0.63253,             0.56596,             0.59371,             0.33487,           0.0087355,           0.0037702,           0.0031064,           0.0020429,           0.0020429,           0.0020429
                 145,           0.0071499,           0.0040584,           0.0020753,             0.60827,             0.59329,             0.60261,             0.33813,           0.0088364,           0.0037852,           0.0031679,           0.0020315,           0.0020315,           0.0020315
                 146,           0.0069578,           0.0041174,           0.0021881,             0.63906,             0.57164,             0.59163,             0.34024,           0.0088044,           0.0037863,           0.0031432,           0.0020219,           0.0020219,           0.0020219
                 147,           0.0070322,           0.0038837,           0.0022483,             0.60168,             0.59567,             0.59178,             0.34196,            0.008817,           0.0037857,           0.0031514,            0.002014,            0.002014,            0.002014
